ID,Description,Class
0,不太想活 自殺方法,2
1,不留戀這世界 厭世規劃,2
2,傷害自己 絕望,2
3,命是網友救起來 手腕 傷痕 鬼門關 救命,2
4,思覺失調症 幻聽 餓死,2
5,想死 棺材,2
6,放棄人生 陰陽兩極 想離開 死路,2
7,放棄拯救,2
8,死去  屍體 墳墓 離死不遠,2
9,死法,2
10,沒有需要存在於這個世上,2
11,活到某一天 消失,2
12,活著都是苟活 我真的好想死,2
13,自x傾向,2
14,自我毀滅,2
15,自殺 求救 活不過。,2
16,不好的想法又出來了 如果我真的做了,2
17,想死,1
18,死亡 尋死,1
19,下輩子,1
20,不知道能再走多遠,1
21,宣告剩下的日子裡倒數計時,1
22,帶我走 到不是這裡的地方 真的好想離開,1
23,很希望能夠趕快結束這一切,1
24,掐住脖子 窒息 而亡,1
25,死後 瀕死,1
26,腐爛的空殼 魂魄 死活,1
27,自己怎麼結束 上天劈死自己 ,1
28,自殺,1
29,解脫,1
30,該如何活下去,0
31,厭世,0
32,索然乏味,0
33,不太想活、自殺方法,2
34,不留戀、累,2
35, 藥物、傷害自己、掉下去、恨、絕望 ,2
36,傷心、健忘、手腕、傷痕、鬼門關門口拉回來、找關愛、同性、陰天、,2
37,藥、餓死了就算了,2
38,很想死,2
39,痛苦 陰陽兩極,2
40,垃圾、無藥可救,2
41,沒有期待 沒有傷害、死、屍體,2
42,死法,2
43,沒有需要存在於這個世上的價值,2
44,桎梏、憂鬱、社恐，沒錢的恐懼、活到某一天，就消失吧,2
45,苟活、死、安眠藥、悠若丁、哭、憂鬱者、失能、好爛好糟糕、爛,2
46,自x傾向,2
47,想自我毀滅,2
48,地獄安、PTSD、眠藥、自殺、失控,2
49,藥、不好的想法、失望,2
50,吵、鎮定劑、登出人生、哭、想死,1
51,尋死、孤身一人,1
52,"負面, 下輩子",1
53,重鬱、人生一團亂,1
54,悲傷、無限負面、深淵,1
55,虛弱、傷,1
56,鎮定劑、在心裡面想了無數的備案、痛苦、絕望、苦、累、很希望能夠趕快結束這一切,1
57,窒息的快要死掉、藥、想逃,1
58,死,1
59,死活,1
60,幻想上天劈死自己,1
61,自殺未遂、藥、哭、壓力,1
62,爆炸、痛苦,1
63,回診、悠樂丁、柔拍、德利能、安眠藥、作夢、做夢、惡夢、噩夢、哭、眼淚、累、夢境,1
64,夢、重摔、滿臉鮮血,1
65,被打、冷漠、傷人,0
66,心情、down、人際障礙、交不到朋友、諮商師、亞斯、異類,0
67,索然乏味,0
68,安眠藥、優樂丁,0
69,強姦、哭,0
70,失去動力,0
71,冷漠、騙體麟傷,0
72,委屈、孤單、不被理解,0
73,哭,0
74,暴怒,0
75,使蒂諾斯、夢遊優達平、憂鬱、電療,0
76,倦怠低落負面,0
77,藥,0
78,煩到吃不下睡不好,0
79,無力、累、暴怒、憤怒,0
80,眼淚、苦,0
81,千憂解,0
82,憂鬱症、焦慮症,0
83,哭,0
84,霸凌者,0
85,焦急,0
86,焦慮,0
87,恐懼、藥,0
88,失落、離職,0
89,忙、累、廢、憂鬱,0
90,負面、壓榨、貼標簽,0
91,藥、憂鬱症,0
92,煩、困住、討厭,0
93,批評、抱怨、負面,0
94,情緒、難控制、兇殘,0
95,傷心,0
96,霸凌,0
97,憂鬱症、崩潰,0
98,哭夭、苦、累,0
99,精神科、爆哭,0
100,藥、SSRI,0
101,焦慮,0
102,夢、絕交、累,0
103,逃避、好累、情緒勒索、壓力好大,0
104,哭、焦慮,0
105,逃避,0
106,低落,0
107,眼淚,0
108,好累,0
109,哭,0
110,低落、沮喪、哭泣、胃口差、睡不好、感到自己沒用、無價值、自殺,0
111, 情緒勒索、激動的、易怒的、許多爭執的、激烈言行、生病、孤獨、病魔纏身、背叛、自私,0
