ID,Description,Class
0,最近又把自己蜷縮起來了不想吃不想動好想消失...沒有社會化的我連狗狗都有點社會化不足都兩歲了都是我的錯只是獸醫說有些狗狗天生就會比較膽小可是一定還是我的錯他現在窩在我的腳邊睡覺爸媽都說他很幸福我還是覺得好對不起他他不喜歡散步...有看影片教學要怎麼散步比較好了只是站在室外就會覺得很可怕以前有前男友陪著所以好一點現在沒有了覺得站在室外呼吸就會很困難..狗狗又走幾步就會想回家就會覺得好無助好想哭僵持在路上又不行又不能用拖的只好回家覺得自己什麼都辦不到還害了狗狗我好沒用...--好的嗚嗚，今天有成功帶去打預防針了qwq～鬆了一口氣好感動嗚嗚嗚嗚嗚，上次復診逃跑了...考慮下個月換去大醫院看q口q..謝謝你嗚嗚,1
1,我想已經沒有意義了活著的動力每一天每一天不論在做什麼不論做的好壞一律歸零一切都是爛我整個人生都是最差的每一次在掉眼淚之前我忍了好久雖然身體沒有外傷但我真的好累肌肉也能感受到的疲憊有時候不知道能逃去哪一直覺得自己沒人愛自我價值被貶低已經一無是處不曉得哪裡可以被愛我喜歡不了自己喜歡不了現在或許有人比我更悲慘但我還是很難過--,1
2,因為身心狀況的關係把論文停掉 打算延畢除了指導老師  其他朋友我都沒說昨晚笑笑地跟室友說我買了一個很好用很貴的護髮油妳可以用看看她就問我說妳寫論文怎麼感覺都沒什麼壓力啊我笑而不答幹你娘 我每天都想死 每天都很痛苦每天都在吃藥控制自己我沒說 就代表我很快樂嗎有一個說話沒腦的室友活著更有壓力閉嘴管好自己很難嗎真的是幹你娘護髮油還我--不想讓別人知道我的狀況她不可能是,1
3,可能因為去年流了太多眼淚，又一直失眠拼命讓自己很忙很累才能閉上眼睡著眼睛很少休息所以左眼出了問題該去看醫生，但又實在不想出門一天拖過一天會瞎嗎？會又如何，不會又如何反正還有右眼而且時間還剩多少，我也真的不知道我已經活夠了真的活夠了--,1
4,到底為什麼週日總會失眠？明明週一要早起為了這個嶄新的開始我最喜歡的禮拜一也應該早睡的可是就是睡不著......不知道是感冒藥的副作用還是我已經習慣不用真正的自己來面對一切了返鄉之後那種解離般的失實感更重了我不再掙扎，對任何事都是但我也無法面對今天只是與母親的話題稍微擦到一點邊邊就必須超級努力的壓制情緒不要露出一點的痛苦跟眼淚有多難？不過我試著與他們聊天像之前一樣我知道他們是開心的至少覺得我是開心的那就夠了吧忍受這樣強烈的反噬從心裡透出來的刺痛想像一下血液在哪裡流動我深深深深的理解為什麼想要自殘有時候不是想要死，是想要痛有一個出口但是我忍耐不這麼做因為不想像他或是回憶中的誰因為不是要逼誰，也不是要給誰看的因為我的身體其實不是我的身體必須要是一個完好無損的身體想要痛還有很多的方法像是拉筋像是我小小的惡習可以在手指上染一點點血像是想像著我這麼做了要緩解痛也有一些方法像是聽著很吵的音樂或是悲傷的音樂與世隔絕像是隨著節奏跳舞感覺自己的身體像是哭泣像是畫畫或是寫下這些感覺又過了一個禮拜了明天就必需好起來好累呀～可是明天就會好的我最擅長的就是忍耐了明天早上我就會跟平常一樣掛著完美的妝容笑著跟寶寶們親吻道別笑著跟孩子們道早安明天就會好了......晚安--,1
5,最近狀況真的很糟只能靠意志力在撐覺得自己會不知道什麼時候會不小心失神就這樣走掉了現在連好好的打一篇文的力氣都沒有只能零碎的寫下該交代的東西--,1
6,好久沒來這邊po文了。打從一開始，在2011年的時候就錯了。如果我選的是高職而不是普通高中，那我現在絕無工作困擾。如果我高二有繼續秉持努力唸書的態度，那我現在的生活絕對大不相同。如果我當初大學能夠再三考慮，選了適合自己的系，然後參與社團活動，學習社交，繼續維持良好生活習慣，現在不會到了24歲還在大學夜間部二年級。但我想，這也跟心魔有關吧，也不必要馬後炮或是一直當初，無限的懊悔。就像我從去年二月中到現在身體還是沒有平衡過，24小時一直覺得自己在天旋地轉，身體異狀也找不出原因，然後Benzo跟SSRI/SNRI斷斷續續吃了一年。benzo成癮跟菸癮還有戒斷，也得靠藥物才能入眠。我從高二開始就有逃學傾向，也一直蹺課，早先甚至翹過高一期末，然後一堆警告，甚至一度想休學。到了大學更是離譜，各式各樣的原因都有，興趣不合、人際或是遇到霸凌、心魔纏身.....而歷史，總是不斷的重演。希望能有一把不死斬，自戕。讓已經半生不死多年的我，在另一個世界甦醒過來。--,1
7,從來不敢想未來，即便身在不能停下的地方。我能做到很多事，但在做到跟不做之間，對我來說非常累，所以我還是選擇停了下來。我愛的人很努力地在生活，每天都把自己過得充實，給自己設了許多目標，不斷地進步。很棒，我真心覺得厲害，也有些許安慰。除了吃飽，希望她每天都能再睡飽一點就更好了。之前曾想過，如果我沒死，未來該從事什麼行業。現在想起，覺得自己大概沒那個能耐，還是別想了。活著如我，現在到底該做些什麼？除了哭跟睡，我還有什麼？我有什麼活著的價值？只不過是個浪費爸媽錢的一坨會呼吸的肉。「不想成為誰的負擔」，現在正是我的負擔。毫無熱情，不想跟現實世界接觸，我只想哭我什麼都做不了想死也無法--,1
8,重度憂鬱併發恐慌症從確診到現在已經六年自殺過三次失敗不過每個月回診加上吃藥控制下現在過著還算平靜的日子我並沒有刻意向身邊的人隱瞞生病的事有時候打鬧的時候他們罵我：「妳有病嗎？」我反而還會笑著回答說：「對啊！精神病！你小心一點！」但是我最聽不得的幾句話就是「那個誰誰誰以前也憂鬱症，現在還不是好了」「妳就不要想太多，多往好的方向去想，不要這麼負能量」「樂觀一點好嗎？妳就是太悲觀」我想說的是，憂鬱症跟憂鬱不一樣每個人都會遇到低潮失戀、失業、家人過世...等等一堆衰小的事在這種時候會出現類憂鬱的狀況哭泣、睡不好、吃不下、甚至想要輕生...之類的想法這些都很正常，因為我們是人，我們有情緒，有喜怒哀樂而在出現類憂鬱的症狀時，有些人會去看醫生醫生會給他們做憂鬱量表廢話這個時候誰心情會好啊？當然憂鬱指數就會很高然後醫生就依此判定你得了憂鬱症、開藥叫你回家吃吃完藥當然就能好睡，而這些低潮總會在時間流逝中漸漸被沖走於是你覺得自己痊癒了，身邊的人也覺得你好了但憂鬱症呢？根本沒發生什麼事，突然性的低潮控制不住的眼淚，想自我了結的衝動就會像洪流一樣撲來擋都擋不住為什麼會這樣？因為腦子裡的腦內啡不夠了，它沒辦法給我們快樂的感覺所以我們要乖乖回診吃藥這已經不只是心理疾病，而是生理疾病了我都直接稱它為精神癌症偏偏身邊就是有一些搞不清楚狀況的人我知道他們是＂為我好＂可是每次在我負能量大爆發的時候都會講上面那些雷話樂觀個屁、正能量去死、時間會帶走的只有青春老娘現在就是在發病的階段如果能控制的話我還需要吃藥嗎？我看過有關憂鬱症的書還有文獻研究比你們還多我懂得憂鬱症是什麼你們它馬的懂個屁不要再憂鬱了？要不要我揍你一拳，然後叫你不要再痛了？吃藥是有原因的，不要隨隨便便叫我減藥或是跟我說沒事就別吃藥了能叫我減藥或是叫我不要吃藥的只有我的醫生拜託那些不懂的人不要再來亂了你們沒走過我們走過的路沒經歷我們經歷過的痛苦就不要隨便叫我們要怎麼做以上深夜亂吠--,1
9,"有人在別板開玩笑吳的好朋友親人過世了吳會不會跟他說你不夠知足OK,如果當聽到這種話會生氣，覺得怎麼能在有人死了，還講這種話來開玩笑時，覺得會講這種話很可惡時那你們知道講生病的人是不知足，有多可惡了嗎？人死了，不該開玩笑，因為人死為大所以有些生病的人，就真的被逼去死了。知道嗎？因為活著好痛好痛，跟人說自己好痛，卻要被冷謿熱諷，感受到這社會滿滿的惡意只有死才能證明自己真的很痛，才能從這種痛苦中解脫如果你會覺得說問家人死了難過，有什麼好難過啊，你還有爸爸啊，還有媽媽啊，還有家人啊，朋友啊，你還有很多錢啊，要知足啊這很靠北的話那請多點同理心不要對生病的人講那些有的沒的因為你正在做自己覺得很靠北的事而不自知失去親人很痛你能同理那生病的人可能也經歷過其他的痛你就無法同理了嗎？--",1
10,減了一個短髮不想化妝戴口罩喔真好我還要瘦5公斤以上爆食症不吃又好無聊呼吸好無聊想死--,1
